,Price,Returns,Realized_Volatility
2023-11-17 01:50:27.900680,34516.005550041766,0.02431391973158159,0.024257594501627473
2023-11-18 01:50:27.900680,34067.33181674305,-0.0129990051325094,0.025929055828206583
2023-11-19 01:50:27.900680,34661.0200894616,0.017426908450363987,0.02587724952265049
2023-11-20 01:50:27.900680,34216.67794415938,-0.012819649974390557,0.023624022718794876
2023-11-21 01:50:27.900680,33775.68928500556,-0.012888120228197075,0.02441641947491808
2023-11-22 01:50:27.900680,34055.79332843422,0.008293066680744587,0.023770104109629157
2023-11-23 01:50:27.900680,32188.25880233468,-0.05483749880935174,0.02645675975624938
2023-11-24 01:50:27.900680,30595.539109994428,-0.04948138705237226,0.026961852094288804
2023-11-25 01:50:27.900680,30113.86183228833,-0.015743382588370602,0.02691800053996267
2023-11-26 01:50:27.900680,29241.84285770542,-0.028957394419865667,0.02230084449519955
2023-11-27 01:50:27.900680,29548.355122888668,0.010481974979305475,0.02569040825317433
2023-11-28 01:50:27.900680,28783.06967669014,-0.02589942631377562,0.025522460592907123
2023-11-29 01:50:27.900680,27616.63323926909,-0.04052508820369782,0.022224314051123684
2023-11-30 01:50:27.900680,28886.88563481534,0.0459959179144267,0.03297569754617039
2023-12-01 01:50:27.900680,28720.593782662952,-0.005756655606790839,0.029259891521309745
2023-12-02 01:50:27.900680,28807.62949244393,0.003030428633878701,0.02935935440640779
2023-12-03 01:50:27.900680,27629.880651616717,-0.04088322647776799,0.03120515357105654
2023-12-04 01:50:27.900680,27209.50437092008,-0.015214552896450462,0.030212163050554693
2023-12-05 01:50:27.900680,27327.51350454413,0.004337055611721263,0.029940872196065074
2023-12-06 01:50:27.900680,26426.418433790903,-0.03297391365677638,0.028639531686596782
2023-12-07 01:50:27.900680,26752.69319838589,0.012346537439889449,0.019990607250485435
2023-12-08 01:50:27.900680,26301.237410084766,-0.016875152903422785,0.019971234035561766
2023-12-09 01:50:27.900680,26098.16943806126,-0.007720852401630451,0.01898300473153641
2023-12-10 01:50:27.900680,25656.93683666902,-0.01690664942763187,0.015048715571809713
2023-12-11 01:50:27.900680,27150.14324879152,0.05819893550146649,0.029653093465082346
2023-12-12 01:50:27.900680,27166.304652700943,0.000595260355031213,0.029596773061923577
2023-12-13 01:50:27.900680,26344.145758586837,-0.03026392086169749,0.02911463981453082
2023-12-14 01:50:27.900680,27029.32601612415,0.0260088242684422,0.030511672640835236
2023-12-15 01:50:27.900680,26083.34833296551,-0.03499819723933639,0.033031445187084105
2023-12-16 01:50:27.900680,26273.55772351175,0.007292368606903299,0.032988999906857525
2023-12-17 01:50:27.900680,24798.24587819623,-0.056151963157821116,0.03934491015129689
2023-12-18 01:50:27.900680,23853.413683711715,-0.03810076725286671,0.02949914978713402
2023-12-19 01:50:27.900680,24018.711575545705,0.006929737354400833,0.03025030096253767
2023-12-20 01:50:27.900680,24581.329047589243,0.02342413206778171,0.03301829246234333
2023-12-21 01:50:27.900680,24732.74864154764,0.006159943332000095,0.0302060918550579
2023-12-22 01:50:27.900680,24671.74774350187,-0.0024664018920766972,0.028573474614792885
2023-12-23 01:50:27.900680,24474.350775956904,-0.00800093165661353,0.02782349406005959
2023-12-24 01:50:27.900680,23435.922676872626,-0.042429239843387756,0.024264507881316087
2023-12-25 01:50:27.900680,22958.188634049995,-0.020384691032202196,0.021320605864482808
2023-12-26 01:50:27.900680,22665.76220440915,-0.012737347632344909,0.020735514608301708
2023-12-27 01:50:27.900680,23419.50400670737,0.033254641758819536,0.023386797262801934
2023-12-28 01:50:27.900680,23685.847750186087,0.011372732035761057,0.02393942537708426
2023-12-29 01:50:27.900680,22488.105472873835,-0.05056784498257372,0.02912677418041353
2023-12-30 01:50:27.900680,22730.53200176974,0.01078021130718776,0.03047469739219569
2023-12-31 01:50:27.900680,22491.929915427303,-0.010496986446417611,0.027023629272465276
2024-01-01 01:50:27.900680,22061.82886332348,-0.019122460976939704,0.02691204738679166
2024-01-02 01:50:27.900680,22492.888736607987,0.019538718931915833,0.02817274958798964
2024-01-03 01:50:27.900680,23222.67538856306,0.03244521681945267,0.02801112327619313
2024-01-04 01:50:27.900680,23904.52071609625,0.029361187551585566,0.030070330217792936
2024-01-05 01:50:27.900680,23333.522643822896,-0.023886614546882234,0.02325979178644121
2024-01-06 01:50:27.900680,23141.20270068124,-0.008242216405870084,0.023650335999910815
2024-01-07 01:50:27.900680,23395.70827103113,0.010997940497811776,0.023023327152356752
2024-01-08 01:50:27.900680,24114.63583283449,0.030729036004160992,0.021674640908985344
2024-01-09 01:50:27.900680,23794.244530899658,-0.013286176252290227,0.023496424167388015
2024-01-10 01:50:27.900680,23685.7583898372,-0.0045593437909564605,0.02121099375146686
2024-01-11 01:50:27.900680,22935.4536227937,-0.031677464351972495,0.02112183477955844
2024-01-12 01:50:27.900680,22149.118697080623,-0.03428469035954018,0.02290416081664171
2024-01-13 01:50:27.900680,22718.361687524197,0.02570048037706374,0.026024426528795976
2024-01-14 01:50:27.900680,23685.444024740424,0.04256831326650201,0.030984131700770367
2024-01-15 01:50:27.900680,23657.977655393763,-0.0011596307554112562,0.02831459646284135
2024-01-16 01:50:27.900680,24405.447524362145,0.0315948336690548,0.030436761923379737
2024-01-17 01:50:27.900680,24696.349700979,0.011919559201955643,0.030299018682600723
2024-01-18 01:50:27.900680,24247.217164343896,-0.01818619116076492,0.027800788024959503
2024-01-19 01:50:27.900680,24536.056335758007,0.011912260671251618,0.020539881750675674
2024-01-20 01:50:27.900680,25720.409477973983,0.048269906378146876,0.023996986957388434
2024-01-21 01:50:27.900680,25718.48614749085,-7.477837725633485e-05,0.022096942459232844
2024-01-22 01:50:27.900680,26981.44340303996,0.04910698274798442,0.025061512342880617
2024-01-23 01:50:27.900680,24967.050990801614,-0.07465843773248204,0.042457344392738995
2024-01-24 01:50:27.900680,25615.92095179811,0.025989050979050576,0.04321865703294053
2024-01-25 01:50:27.900680,25708.59784381771,0.003617941052909801,0.04194771327292696
