,Open,High,Low,Close,Volume,Adj Close
2023-11-10 01:50:27.900680,30205.376142203295,31818.926181981547,29581.10492652248,30480.85575124248,3177015864.4547906,30480.85575124248
2023-11-11 01:50:27.900680,30450.903109978488,31703.852562045347,29338.620330052785,30385.055046428573,1801128071.4705036,30385.055046428573
2023-11-12 01:50:27.900680,31200.06194147675,32261.903662409415,30511.56621128469,31012.226605625558,3467134431.410165,31012.226605625558
2023-11-13 01:50:27.900680,32923.1439784201,33778.13573242265,31854.050173558255,32494.551497561602,3971525974.671756,32494.551497561602
2023-11-14 01:50:27.900680,31920.076950440674,32791.42057063243,31273.212089228986,32299.373307988222,3951669573.4161015,32299.373307988222
2023-11-15 01:50:27.900680,31477.39661356187,32235.280496971656,30849.890302080927,32105.38326716841,3085796096.6675205,32105.38326716841
2023-11-16 01:50:27.900680,33207.27619775138,34375.661773306354,33676.549105329395,33696.70653219921,1273834877.3343122,33696.70653219921
2023-11-17 01:50:27.900680,35068.28737652774,34815.4742061589,33573.72139638633,34516.005550041766,2484451753.7205114,34516.005550041766
2023-11-18 01:50:27.900680,34576.82931015545,35251.0882838454,33536.348564467924,34067.33181674305,4683066433.85343,34067.33181674305
2023-11-19 01:50:27.900680,34796.07758911367,35260.82856818577,33171.55454663187,34661.0200894616,3337795639.029704,34661.0200894616
2023-11-20 01:50:27.900680,34354.252065816036,35885.784946252395,33336.60736526375,34216.67794415938,3153327773.022854,34216.67794415938
2023-11-21 01:50:27.900680,33998.658382609756,34858.15297124458,32133.408405467246,33775.68928500556,2075414057.528774,33775.68928500556
2023-11-22 01:50:27.900680,33613.57378268728,35456.30473302351,33213.687413630396,34055.79332843422,2473795679.6663156,34055.79332843422
2023-11-23 01:50:27.900680,32721.826760983142,32401.54572553014,32130.347951730953,32188.258802334676,4581384356.612677,32188.258802334676
2023-11-24 01:50:27.900680,30496.12872669247,31914.22900028211,29653.51273016868,30595.539109994428,3665852190.1073427,30595.539109994428
2023-11-25 01:50:27.900680,29973.095823735835,31503.25095928188,28666.88476740847,30113.861832288334,4149548107.009331,30113.861832288334
2023-11-26 01:50:27.900680,29263.970400309787,29953.97226230921,27825.010933500118,29241.84285770542,2817381692.2706203,29241.84285770542
2023-11-27 01:50:27.900680,29012.89870302926,30444.043977836693,28644.155895038686,29548.355122888668,3520988877.8246317,29548.355122888668
2023-11-28 01:50:27.900680,28398.854114715574,29883.74836613046,27574.216637667032,28783.06967669014,1993534434.97283,28783.06967669014
2023-11-29 01:50:27.900680,27879.580722607643,27858.05595152449,26268.04689128881,27616.633239269086,3821843321.133945,27616.633239269086
2023-11-30 01:50:27.900680,28404.81974816176,29612.764073552207,28534.77416215803,28886.88563481534,2710405334.8133492,28886.88563481534
2023-12-01 01:50:27.900680,28839.097376015307,29293.085726503705,27943.016747434864,28720.593782662952,2770182059.2589827,28720.593782662952
2023-12-02 01:50:27.900680,28514.193952515074,29018.46387912093,27783.87082900247,28807.62949244393,3597289298.3075266,28807.62949244393
2023-12-03 01:50:27.900680,27507.530692751483,28137.627262780512,27491.84616519951,27629.880651616713,4745122485.875707,27629.880651616713
2023-12-04 01:50:27.900680,26979.52282320246,27302.251108430093,26007.03332963459,27209.504370920076,1256025386.4344838,27209.504370920076
2023-12-05 01:50:27.900680,27169.749272949,27362.78226633114,27267.28206469315,27327.51350454413,4298972949.388031,27327.51350454413
2023-12-06 01:50:27.900680,26657.9623836552,26605.01647955831,25519.948304486243,26426.418433790903,2169532441.6487722,26426.418433790903
2023-12-07 01:50:27.900680,26535.591578443968,28040.989353139612,26603.41808254627,26752.693198385892,2775677818.0255113,26752.693198385892
2023-12-08 01:50:27.900680,26371.098378467967,27023.902749456192,25779.082726530814,26301.237410084766,1087653315.100036,26301.237410084766
2023-12-09 01:50:27.900680,26073.167811606007,27358.47895850182,25872.038403669478,26098.16943806126,2204184311.337252,26098.16943806126
2023-12-10 01:50:27.900680,25824.90886673676,26211.7653739845,25636.42817358266,25656.93683666902,3010524970.520522,25656.93683666902
2023-12-11 01:50:27.900680,27624.542848711495,27573.43588281897,26184.14853387741,27150.14324879152,1224704309.389756,27150.14324879152
2023-12-12 01:50:27.900680,27419.029630562192,27853.80485487113,27113.51439052111,27166.304652700946,2964382917.5326605,27166.304652700946
2023-12-13 01:50:27.900680,26043.759669935127,26923.07375798424,25539.96686113949,26344.145758586834,4708442515.433709,26344.145758586834
2023-12-14 01:50:27.900680,26522.453860752717,27172.128276089228,26198.866063129506,27029.32601612415,1421572872.431221,27029.32601612415
2023-12-15 01:50:27.900680,25835.310343213587,26919.093132315273,25223.102686733222,26083.34833296551,4057762912.302017,26083.34833296551
2023-12-16 01:50:27.900680,26373.479143531156,26557.362306444178,25671.11503851592,26273.55772351175,2638684213.5039706,26273.55772351175
2023-12-17 01:50:27.900680,24353.291759323056,25566.48060063249,23749.459918368684,24798.24587819623,3620694858.097352,24798.24587819623
2023-12-18 01:50:27.900680,23849.946587362385,24628.889465440436,23321.138455609485,23853.413683711715,2040946391.9409175,23853.413683711715
2023-12-19 01:50:27.900680,24111.753193797264,24201.28363052629,23468.32857918647,24018.711575545705,1637969050.1654332,24018.711575545705
2023-12-20 01:50:27.900680,24418.348829130187,24656.731816136955,24288.69055308953,24581.329047589243,1641850457.0849056,24581.329047589243
